Plate,Customer_meaning,Reviewer_comments
NCHEN6A,AS A LITTLE KID WOULD BE CALLED THIS AS A    NICK  NAME,CHENGA=FUCK IN SPANISH (ALSO SUBSTITUTING BECAUSE ALREADY UNACCEPTABLE WITH THE G)
NIJJAR1,ITS A SUR NAME,LOOKS LIKE 'N' WORD… IT IS A SURNAME BUT NOT THIS CUSTOMERS NAME ON 272. NIJJAR IS UNACCEPTABLE AND HER FIRST NAME IS NIJJARA.
OINK B8,I OWN A CORN FARM IN CALOUSA CA AND SELL  ORGANIC PIG FEED,oink=pig=cop bait, might mean a fast car being bait for police
O16BCAT,2016 BLACK CAT,PULLED FOR CAT, NO CAT CAR ON ANI. HAS A 2016 BMW
PAKOMER,SOURCE OF FOOD (SPANISH WORDS),comer=eat
PAYBVCK,PAYBACK,PAYBACK=AN ACT OF REVENGE OR RETALLIATION
PCHECHI,ECHI IS THE NICKNAME OF OUR FAMILY GROUP AND WE ALL LOVE THE BEACH (PCH),urban dictionary says pachichi=an object or body part being shriveled or saggy and the examples are breasts and penis… PCHICHI is already unacceptable
PINK 64,THE CAR IS A 1964 VW BUG,PINK=VAGINA. HAS A 64 VW ON ANI
PNKMOPR,PINK MOTOR PARTS,PINK=VAGINA
QUIK II,THE CAR IS A CHEVY II (CHEVY 2) AND IT IS VERY QUICK,QUICKIE CAN HAVE SEXUAL CONNOTATIONS, CUSTOMER DOES HAVE A LOT OF CHEVYS
REDS 43,1943 JEEP,HAS A 1943 JEEP, PULLED FOR RED--GANG COLOR
ROTH415,LAST NAME AND AREA CODE,415=SAN FRANCISCO AREA CODE
SHIV OO7,SHIV IS NAME OF OUR SON, AND 007 IS REFERED TO JAMES BOND.,shiv is a knife or something possibly homemade that you shank someone with
SHTBABE,SHORTENED VERSION OF OWNER'S NICKNAME  (SHOOTBABE),"CUSTOMER LAST NAME IS SHOOTER, COULD BE READ AS ""SHIT, BABE"" OR SHOT BABE"
SKRAPS,THIS IS MY MAIDEN NAME SPELLED BACKWARDS,"A Norteño derogatorily refers to a Sureño as a ""scrap"" (Hispanicized scrapa) or ""Sur rat"" Customer last name is Sparks and SCRAPS is currently registered"
SNL SKWD,THIS WAS THE NAME OF MY DADS RUNNING GROUP. HE PASSED AWAY RUNNING A MARATHON AND WANT THIS IN MEMORY OF HIM.,SCREWED
SOEZEEE,THINGS ARE EASY IF YOU WORK HARD,EASY CAN HAVE SEXUAL CONNOTATIONS
SSHNTRR,MY CARS NICKNAME. SSHNTRR,THREATENING, SS HUNTER
SSS 88,MY INITIALS,88=HATE SYMBOL NO 88 CAR ON ANI
USTLLH8,YOU STILL HATE,hate
WET TBSS,GLOSSY PAINT ON MY TRAIL BLAZER SS,wet can have sexual connotations, ani shows a chevy UT
WHITT13,WHITT IS LAST NAME  13 IS YEAR MARRIED,13=GANG NUMBER NO 2013 CAR ON ANI
YKYMF,YESTERDAY KILLS YOUR MIND FOREVER,yipee ki-yay motherfucker
YLA GANJ,HERRY UP BRO,YELLOW GANJA, DRUGS…
YOU FOOL,YOU FOOL,CONFRONTATIONAL
ZUGZUGZ,ZUGZUGZ IS THE NAME I GO BY ON MOST GAMES  IVE PLAYED FOR THE PAST FIFTEEN YEARS.,zugzug=sex from the old movie Caveman
ZZZ1969,YEAR OF CAR,no 69 car on ani
1ARDNUT,1 TUNRDA (BACKWARDS),one hard nut. Does have a toyota truck on ani
1BADMTF,CLASSIC CAR,ONE BAD MOTHERFUCKER
2DEEPNU,THE CAR IS TWO MUCH FOR U TO UNDERSTAND,too deep in you, sexual connotations
2OO6GTH,INTEND TO PLACE THIS PLATE ON A 2006   MUSTANG GTH,GTH=GO TO HELL, NO 2006 CAR ON ANI
2OO7GTH,I AM GOING TO PUT IT ON A 2007 MUSTANG GTH,GTH=GO TO HELL, NO 2007 CAR ON ANI
4 REDDD,FOR RED,RED=GANG COLOR
8TNGBBY,IT'S A ROUGH TRANSLATION OF THE U2 ALBUM, ACHTUNG BABY, EXCEPT THAT THE ACHT IS THE  GERMAN NUMBER 8, WHICH IS ACHT IN GERMAN.,ate?
8UTT5EX,"""EIGHT UTTERLY TERRIBLE TEENS WITH 5 EXES""",BUTT SEX
818DIPN,CLASSIC CAR,818 AREA CODE, LOS ANGELES
#UKNENM,CHILDHOOD NICKNAME,FUCKEN? (HAND SYMBOL, F FOR FIVE?)
FU$XIN,MY NAME IS FU DENG. HER NAME IS XIN. IT   MEANS  I LOVE HER.,FU=FUCK YOU. IT IS HIS GIVEN NAME
KIKI$77,NAME AND SOFTBALL NUMBER,kiki=Tagalog, means vagina
N8$H8,NGOC8 LOVE HUY8,NATE LOVES HATE
HLHA&18,HLHA STAND FOR HUNG, LAN.ADEN AND HELEN , WE ARE FAMILY . 18 IS MY BIRTHDAY 01/08,18=HATE SYMBOL
&TEAM D,FAMILY NAME,team D, D=dick. Customer last name is Delyser
TROL&DF,NICKNAME,TROL is southern slang for police (patrol) DF=Mexico City (from Distrito Federal, the capital of Mexico)
DMFESQ,MY NAME - DAVID MICHAEL FOULKES ESQUIRE   (I'M A LAWYER),DMF=DUMB MOTHERFUCKER, BUT IT IS HIS INITIALS.
SPYMAN,SPY MAN,SPY=CIA=FEDERAL AGENT
BALDRYZ,NAME,BALLS.. DRY BALLS… LAST NAME IS BALDRY
B52RBS,USAF BOMBER AIRCRAFT RADAR BOMB SCORED,vet plate but pulled for b52 bomber and RBS does mean radar bomb scored
BASAHLQ,BASS FISHING,basah=Indonisian and Malay word for 'wet'
BB BLUE,THE COLOR OF THE CAR IS BABY BLUE,BLUE=GANG COLOR
BLOWNV8,MY CAR HAS A HIGH-PERFORMANCE V8 ENGINE.,BLOWN, SEXUAL CONNOTATIONS
BLUISH,THE CAR IS BLUE,BLUE=GANG COLOR
BLU SKYE,BLUE CONVERTIBLE CAR,BLUE=GANG COLOR
BLWNBRA,NICK NAME OF THE CAR,BLOWN, BRO
CARLEY8,NONE,ATE, CUSTOMER NAME ISNT CARLEY
CZYSLVI,CRAZY SALVADOREAN,CRAZY
GASSLUT,BECAUSE I HAVE TO REFILL MY GAS TANK EVERY 2 DAYS DRIVING A TRUCK,gas slut
IZZA BLU,IT'S A BLUE,BLUE=GANG COLOR
JET BLU,LOOKS FAST,BLUE=GANG COLOR
KEEKEEE,CAT,kiki=Tagalog, means vagina
NADACOP,THIS PLATE IS GOING ON AN EX POLICE CROWN   VICTORIA. THOUGHT THIS WOULD BE A FUNNY   PLATE.,NOT A COP… NOTACOP IS ALREADY UNACCEPTABLE
NTNBTWT,CAR COLOR,nothing but white? Twt could be twat
OINKER,OINKER - HAS BEEN MY ONLINE NAME SINCE I WAS 22 (26 YRS). HTTP://STEAMCOMMUNITY.COM/ID/OINKER/,OINKER=PIG=POLICE, OINKERS&OINKERZ are unacceptable but ther are a couple current records with numbers before or after
OTW2FYG,"ON THE WAY TO (2) FIX YOUR GENERATOR, BECAUSE AS A CONTRACTOR FOR THE NAVY WE CONSTANTLY GET SENT OUT TO EVERY SHIP TO REPAIR THEIR SHIPBOARD GENERATORS.",on the way to fuck your girl
QE GUEY,CUTIE GUY,guey=in Spanish, cuckold or asshole, QUE GUEY is unacceptable
QVO ESE,WHAT'S UP MAN,QVO=qué hubo, apparently like what's up in Spanish slang. But 'ese' Urban Dictionary says means the letter S which stands for Surenos gang…
REDBIT2,RED COLOR RABBIT CAR,RED=GANG COLOR
SMARTAF,FOR MY SMART CAR AND MY NICKNAME, TAFFY, SMUSHED TOGETHER,SMART AS FUCK
THESY14,THEO ESTHER,14=hate symbol, no 2014 car on ani
TRDPRO T,TRUCK MODEL,TRD looks like turd. Has Toyota truck
TRIGGA,MY NICK N AME OF TRIGONOMETRY,TRIGGER AS IN GUN
TT O15,TERRIFIC TOURS 2015,TT=PENIS IN TAGALOG. I did an ani on the company Terrific Tours and they have at least 3 plates already with similar configurations (o11, o12, and oo1)
UGASHKA,OOGA SHAKA,you gash or ooga chaka
WELL666,NONE,the devil 666
WHTWSHD,NICKNAME,Per Urban Dictionary: When a person who isn't white forgets their culture and acts like a white person.
X32TTUB,FAMILY LETTERING,backwards… butt sex
6TOOL6,THE 66 REPRESENTS THE YEAR I WAS BORN AND  TOOL IS A ROCK BAND,TOOL IS A FOOL, A PENIS OR THE BAND…
14 STFB,2014 SOFT TAIL FAT BOY LO,14=hate symbol, has 2014 Harley. Harley makes a Softail Fat Boy… STFB can mean Slap that Fucking Bitch but only 24 up (1 down) on Urban Dictionary.
BL STL,BLUE STEEL,blue=gang color
BLUMENE,BLUE VEHICLE THAT LOOKS MEAN,BLUE=GANG COLOR
HIPFISH,FUN FISH,FISH=FUCK IT SHIT HAPPENS
SPYGIRL,SPY GIRL,SPY=CIA=FEDERAL AGENT. ORDERED BY SAME CUSTOMER AS 'SPYMAN'. There is a mix of unacceptable, expired and current 'spy' plates on record…
CACKS 65,MY MOTHERS NAME IS CATHY AND HER DAD GREW UP CALLING HER CACKIN. I ORDERED CAKCINS FOR HER OTHER CAR A FEW YEARS AGO. THIS IS FOR HER 1965 MUSTANG.,CACK=COCK SAID WITH A BOSTON ACCENT, ALSO MEANS SHIT
DIE HURE,NO MICRO,DIE WHORE IN GERMAN
H8 NONE,NO MICRO,HATE NO ONE
TTYCITY,NO MICRO,TITTY CITY
IDG2FX,NO MICRO,I DON’T GIVE 2 FUCKS
YOJ88,NO MICRO,88-HITLER
GOT2B18,NO MICRO,18-HITLER
NSTY G,NO MICRO,NASTY G
RAES CAT,NO MICRO,CUSTOMER IS RACHEL. RACHELS CAT
88CKS88,NO MICRO,88-HITLER
BEAR BK,THE MODEL OF MY NEW JEEP,SEX WITH NO CONDOM
BLUGOON,MEANS A BLUE WAGON,BLUE-GANG
B8B88B8,FAVORITE LETTER AND NUMBER,88-HITLER
CREDO18,SERVITE HIGH SCHOOL MOTTO,18-HITLER
CREDO88,SERVITE HIGH SCHOOL MOTTO,88-HITLER
DIUPSCM,DIE YUPPIE SCUM,DIE UP SCUM
RSTONED,IM A NUMBER 1 FAN OF THE ROLLING STONES BAND, OLD SCHOOL CAR NEEDS AN OLD SCHOOL LICENSE PLATE.,STONED-WEED. ROLLING STONES.
STBN WGN,IT IS A REFERENCE TO A MOVIE,STABBIN WAGON
TACO422,SHORT FOR TACOMA AND LUCKY NUMBER,CUSTOMER HAS A TOYOTA TACOMA
WHTCRKN,MY MOBILE APP,WHITE CRACKIN… RACIAL?
415GABE,IT’S THE DATE I MET MY WIFE,CA AREA CODE
69VW BUS,NO MICRO,NO '69 VEHICLE CONFIRMED
69VW RAG,NO MICRO,NO '69 VEHICLE CONFIRMED
A BMF GT,NO MICRO,A BAD MOTHER FUCKER GT
S12 88,MAKE AND YEAR,88-HITLER
MAMAG13,NAME AND GRANDDAUGHTERS BIRTH YEAR,13-GANG
2KUULO,FRIENDS LAST NAME,KULO… ASS
DOMINUS,NO MICRO,LATIN WORD FOR MASTER OR OWNER
LOCL 13,NO MICRO,13-GANG NUMBER
Nov-88,NO MICRO,88-HITLER RELATED
RSG 13,NO MICRO,13-GANG NUMBER
1KING FN,NO MICRO,FN-FUCKEN OR FUN?
57 STUD,NO MICRO,STUD IS MARKED UNACCEPTABLE?
69 SASHA,NO MICRO,NO 69 CAR
RED TORO,NO MICRO,RED-GANG COLOR
GUN SMKE,NO MICRO,GUN?
KILRRDS,NO MICRO,KILL?
YRAIZ,NO MICRO,YOUR ASS
3O INCHR,NO MICRO,SEXUAL
4GUNN2,NO MICRO,GUN?
ASA TACO,ASA IS THE INTIALS TO MY NAME ALEC STEVEN ALEJO AND TACO IS FOR TACOMA,TACO CAN BE SLANG FOR VAGINA. DOES HAVE A TACOMA
BALZINI,MY MAGICIAN NAME WHEN I USE TO PERFORM AS A TEENAGER,BALLS IN 1?
BLQ BTY,BLACK BEAUTY,BLACK BETTY CAN BE SLANG FOR HERION.
BOXN RN,BOXING REGISTERED NURSE,BOX IS SLANG FOR VAGINA
GGG 69,INICIAL OF MY KIDS NAME,NO 69 CAR
KBOMB5K,NICKNAME,BOMB?
LZYJ8O5,LAZY JASON AND MY AREA CODE,805 PASO ROBLES AREA CODE
L8RH8RZ,SAYING GOODBYE,HATE?
OG CALI,ORIGINAL CALIFORNIA,OG-ORIGINAK GANGSTER
OOKINAM,OK I NEED A LOT MORE,"TAGALOG-OKI'S NICENES. URBAND SAYS ""PUSSY OF MOTHER"" AND 1 THING ON GOOGLE SAYS ""PUSSY OF MOTHER""."
RAM YOU,DODGE RAM FOR YOU,SEXUAL. DOES HAVE A DODGE TRUCK
SHHOOTS,BYE IN PIGEON/HAWAIIAN,"SHOOT? ""SHOOT: IS CURRENT"
T11111T,LUCKY NUMBERS,"DOES IT LOOK LIKE ""TIT""?"
805QWLT,805 AREA CODE QUILT,805 SAN LUIS OPISBO AREA CODE
8RYNT 24,BRYANT #24,"8 AND 24 IS KOBE'S JERSEY NUMBERS AND HE HIS RETIRING……BUT THIS IS OUT THERE WITH ""BRYNT 24"" SO PULL FOR SUBSTUTING?"
$ OVRH8,LOVE OVER HATE,HATE?
B8ME13,FISHERMAN,13-GANG NUMBER NO 2013 CAR
P3RCNT,PERCENT. REPRESENTS PATRIOTS AND VETERAN/MILITARY FAMILY.,"""PERCNT"" IS NOT OUT THERE SO PUL FOR SUB OR NOT? I TOOK ITAS 3 PERCENT SAYING."
BALLR22,MY BASKETBALL NUMBER,BALLER?
BLK INDN,BLACK INDIAN,RACIAL?
BOMYUSA,NONE,BOMB?
BYTME13,SHARK,13-GANG NUMBER
FKNCONE,FAST KART NEEDS CONES,FUCKEN CONE
KILLA,KILLING ANY COMPETITION,KILL?
SHOVU,MY SON'S SHORT NAME,SHOVE YOU?
BCHWRTR,BEACH WRITER,3BEACH OR BITCH
SUP BRA,"""SUP BRA"" IS SURFER LINGO FOR ""WHAT IS HAPPENING MAN?/HOWS IT GOING?""",BRA? WHAT HE SAYS IS TRUE
OGVWRHD,NO MICRO,OG-ORIGINAL GANGSTER
PIA2O15,NO MICRO,PIA-PAIN IN ASS. NO 2015 CAR
RAMS FN,NO MICRO,FN-FAN-FUN OR FUCKEN
THG CAFÉ,NO MICRO,THUG-GANG RELATED
5TENJDM,NO MICRO,510-BAY AREA CODE
GR8HIGH,NO MICRO,
TBANG,NO MICRO,"BAND-SEXUAL PART OF THEIR NAME IS ""BAMBANG"""
666EVIL,NO MICRO,666?
BRAAAP7,THE SOUND MY DIRTBIKE MAKES AND FAVORITE NUMBER.,BRAP IS MARKED UNACCEPTABLE? URBAN SAYS IT IS THE SOUND OF A GUNSHOT
FU JOKER,THAT I HATE THE JOKER. BECAUSE I AM BATMAN,FU-FUCK YOU
KYZ HOE,BLACK CHEVY TAHOE AND MY NAME,HOE-WHORE. NO TAHOE ON RECORD
LNG GUNR,no micro,GUNNER?
MINIPIG,NO MICRO,PIG-?
KNG RED,NO MICRO,RED-GANG COLOR
XLBIG,NO MICRO,XL BIG-PENIS?
SMOKMUP,NO MICRO,BURN RUBBER OR LIGHT UP A JOINT
PSI,NO MICRO,PSI-PUSSY?
NCK SNPR,"THE CAR HAS A LOT OF HORSE POWER AND IS A ""NECK SNAPPER"" WHEN YOU FLOOR THE GAS PEDAL.",NECK SNAPPER
MS 7O7,707 IS A LUCKY UMBER SCHEME TO ME AND HAS BEEN FOR 7 YEARS NOW.,707 NAPPA AREA CODE
PHRED,MY DOG'S NAME,"RED-GANG COLOR OR ""FRED""?"
PSI4H2O,I SELL WATER PUMPS,PSI-PUSSY?
TRDTUNR,TRD TUNER BUT SHORTENED.,TRD-WE USUALLY PULL FOR RETARD OR TURD. NO TOYOTA ON RECORD.
WHERE TA,MY LAST NAME SPELLED THE WAY ITS PRONOUNCED,TA-TITS OR ASS
WHIP EM,NICKNAME,WHIP LIKE SPANK?
WSMFKN6,WILSON, SAMMY, MANUEL, FRANK, KATELYN, NANCY INTIALS FOR ALL 6 SIBLINGS FOR A TOTAL FO 6 SIBLINGS.,FKN-FUCKEN
5MAGNUM,THE CAR IS A 2005 DODGE MAGNUM,MAGNUM CAN BE A CONDOM OR  A GUN? Has 2 CHEVYS ON RECORD
8MB 777,"THE FIRST LETTER OF MY WIFES NAME IS ""M"", AND MINE IS ""B"" AND OUR LUCKY NUMBER IS ""7"".","I THINK HE IS TRYING TO DO A OLD AUTO PLATE 8 AS A ""B"". HIS INTIALS ARE ""LG"""
BLUE LUV,DODGER BLUE I LOVE,BLUE
DOPE SHT,COOL STUFF,DOPE SHIT
DOPE 5OH,DOPE MEANS SICK IN A DIFFERENT TERM AND THE 5 OH REPRESENTS THE MODEL OF MY MUSTANG SINCE ITS A 5.0L ENGINE,DOPE COULD MEAN NICE OR COULD MEAN DRUGS
EIGHTY8,,88 HITLER REFERENCE
FINFN13,FAVORITE FOOTBALL TEAM,13 GANG REFERENCE
GETTNSX,GREDDY TWIN TURBO NSX, PLATE IS FOR A TURBOCHARGED NSX,GETTING SEX
GO BLUE 7,UNIVERISTY OF MICHIGAN COLORS MY SPIRIT AND PRIDE,BLUE
HII H8TR,HIGH HAT CAR CLUB,HI HATER
HO 888,,HO AS IN WHORE
H77 GATO,MY SPANISH CAT,GATO MEANS CAT
KIKROX8,KICK ROCKS 8,KICK ROCKS
KLM,,LOOKS LIKE KILLEM
KLPAPAG,COOL PAPA G GRANDFATHER TO FIVE, THE OLDEST FIRST NAME BEGINS WITH A K, WOULD GIVE HIM CONFIDENCE IF I USE A K OVER A C,KILL PAPA G G AS IN GANGSTER KILL
KLYNSFX,KAYLYN'S FOX,LOOKS LIKE KILLING OR COULD BE CLEAN AS FUCK
LILJO13,NICK NAME,13 GANG REFERENCE
MFI73S,,MF LOOKS LIKE MOTHER FUCKER
NCHB14D,NAVY CARGO HANDLING 14 DELTA CO,14 GANG REFERENCE
RSTNPCE,"I'M A HUGE FAN OF THE RED HOT CHILI PEPPERS. PLATE IS MEANT TO BE READ AS ""CALIFORNIA REST IN PEACE"" IN REFERENCE TO THEIR SONG ""DANI CALIFORNIA"".",REST IN PEACE
TATA 48,,TATA AS IN BREAST
VR38 510,THIS IS AN NISSAN ENGINE SIZE DESIGNATION.,510 AREA CODE
XB CRAZY,CRAZY ABOUT TOYOTA SCION XB,CRAZY
XTR88,EXTRA LUCKY,88 HITLER REFERENCE
1SIZEUP,MY 1966 CHEVROLET CAPRICE IS A LARGE 2-DOOR CAR. I SIZED UP THE WHEELS IN DIAMETER AND INSTALLED A LARGER ENGINE. IT'S [1SIZEUP],ALSO LOOKS LIKE I  SIZE UP SEXUAL REFERENCE
2ND2GUN,SECOND TO GREAT UTILITY NATION,GUN
3DRTY5 M,335 M PERFORMANCE,DIRTY
415RMDL,MY BUSINESS,415 AREA CODE
42OEDDI,IF HAS NO MEANING I JUS WANT TO GET IT BECAUSE I LIKE IT THATS IT,420 NATIONAL SMOKE DAY 4-20 MARIJUANA
5150SRT,,5150 CRAZY
O7 KITY,2007 JAGUAR XK KITY LIKE A CAT,KITTY
BAMBA G,NICK NAME,G AS IN GANGSTER
LMAO240,,LAUGHING MY ASS OFF
RNL DR G,RENAL DOCTOR GLORY,G AS IN GANGSTER
LOUDXAF,NAME OF MY BIKE,LOUD AS FUCK
415VICT,415 IS A CAL PENAL CODE SECTION VICT IS MAKE OF MOTORCYCLE (VICTORY),415 AREA CODE
BRO WTF,COLLEGE INSIDE JOKE,BRO WHAT THE FUCK
TRU BLEU,FAVORITE COLOR IS BLUE, LOVE THE OCEAN THAT'S BLUE, THE CAR IT WILL BE ATTACHED TO IS BLUE. LOVE THE COLOR BLUE,TRU BLUE
AA13RON,THE NAME AARON, AND LUCKY NUMBER 13,13=gang number, no 2013 car on ani
A LMAO,A HAPPY GREETING THAT ALIENS SAY.,LMAO=LAUGH MY ASS OFF
AMFS 62,MY INITIALS AND YOB,AMF=ADIOS MOTHERFUCKER, THIS IS HER INITIALS
APX PD8R,LIKES CORNERS,apex predator
BAD AASS,IM A BAD ASS,ass
BALZOU7,M M NAME KUT,balls out
BENT1,I OWN A COMAPNY NAMED BENT MOTORSPORTS,BENT CAN MEAN INTOXICATED
BENZONA,LOVING OF GOD,HEBREW COMMON CURSE WORD, MEANS 'SON OF A BITCH' OR 'WHORE'S SON'
BIG HWNG,MY LAST NAME,wang=penis, customer last name is Hwang
BLAYZ,CAR NAME (FIRE),BLAZE=MARIJUANA, NO CHEVY BLAZER ON ANI
BLCK BST,BLACK BEAST FOR BLACK DODGE CHALLENGER,HAS A 2013 DODGE CP ON ANI
BLKRCK1,MY COMPANY IS BLACKROCK CREATIVE  MANAGEMENT COMPANY,black rock can mean crack according to Erowid Drug Slang and Termonology website. BLCKRCK & BLKRCK are currently registered
BLUE 64,NAME OF MY CAR ABD THE YEAR,has 1965 Ford, pulled for blue=gang color
BLU Q O3,BLUE CUE - 2003 - IT'S WHERE AND WHEN MY WIFE AND I FIRST   MET,blue=gang color
BRAZZRS,PIECE OF ARMOR PROTECTING THE ARM,IRISH SLANG WORD FOR A PROSTITUTE, NAME OF A PORN WEBSITE
BRNG IT,BRING IT,A CHALLENGE, CONFRONTATIONAL?
BTCHN69,COOL 1969, AWESOME 1969, TRICK 1969,PULLED FOR BITCHIN, HAS 1969 CHEVY
BUHSCRU,BUHAGIAR FAMILY,last name is Buhagiar, pulled for screw
BYEBICH,BYE AND BICH IS A EUROPEAN CAR,BYE BITCH
CADAVRZ,I AM IN THE MORTUARY FIELD THIS PLATE IS NOT INTENDED TO BE OFFENSIVE TOWARD ANYBODY.. I ALREADY HAVE A PLATE WITH BODIES1 ON IT.,CADAVER=A DEAD BODY. FYI THIS IS NOT OUT WITH AN 'S'
CARAMRD,MOVIE REFERENCE,CARA MERDE=DEAR SHIT IN ITALIAN
CHIEF G,THE WORD CHIEF WITH THE FIST LETTER OF MY  LAST  NAME,g=gangster
CHRY BM,MY DEEJAY NAME IS MISS CHERRY BOMB. ALSO,  CAR IS CHERRY RED,BOMB, a couple similar plates are out and a couple are unacceptable
CHULO62,CUTE 1962,CHULO=PIMP
COOK ME,OUR LAST NAME AND OUR FIRST I INISHELS.,"last name is Cook, first name Michael. Looks like ""cook me""  ??"
CULOZ,NICKNAME MY GRANDKIDS CALL ME GRANDPA CULO,CULO=ASS IN SPANISH
CUMMNNZ,ENGINE TYPE,PULLED FOR CUM, HAS A 2015 DODGE RAM TRUCK. COULD HAVE A CUMMINS ENGINE
DB BLOWN,THIS TRUCK HAS A RARE ENGINE THAT HAS TWIN BLOWERS OR SUPERCHARGERS. MEANS DOUBLE BLOWER.,blown can have sexual connotations
DREW666,NICKNAME FOR CAR,pulled for 666=satan
DURAHO1,ITS GOING ON A DURAMAX DIESEL TRUCK AND THAT IS WHAT I CALL THIS TYPE OF TRUCK,dura ho, pulled for ho=whore. DURAHO isnt out there.
EATMY SS,"EAT MY ""SS""",eat can have sexual connotations… eat my SS or eat my ass
EIRE 88,EIRE IS THE IRISH WORD FOR IRELAND. 88 IS MY  YEAR OF BIRTH.,88=HATE SYMBOL, NO 1988 CAR ON ANI
FAIDLAA,FASTER IN CHINESE,cant translate this, & this isnt what comes up when I look for 'faster' in Chinese. FAI/D/LA is out but with that spacing
FASTMO4,FAST CAR AND WIFES NICK NAME,fast mo-four=fast mofo (motherfucker)
FCR RE,FIRST CALIFORNIA REALTY REAL ESTATE.,fuckery. I googled his name, he seems to be a real estate agent
FFCUZ53,FAMILY FIFTIES CUSTOM 53,CUZ IS A CRIP (GANG) TERM, NO VEHICLES ON ANI, FUCKERS?
FFCUZ56,FAMILY FIFTIES CUSTOM 56,CUZ IS A CRIP (GANG) TERM, NO VEHICLES ON ANI, FUCKERS?
FITINYA,HONDA FITS ANYTHING !,fit in you, sexual
FPD O9,FIREPOWER DEPOT 2009,FPD, LOOKS LIKE A POLICE DEPT (PD) FIREPOWER DEPOT IS A PLACE WHERE YOU CAN GET FIREARM TRAINING (CUSTOMER'S BUSINESS, I LOOKED AT THE WEBSITE)
FRAGOUT,HUMOR,FRAG=MILITARY SLANG, MEANS KILL OR ASSAULT (DICTIONARY.COM)
FU GATI,LAST NAME,fu=fuck you, last name is Fugatti. Plate has 1/2 space between u and g
FUKCOPS,IF YOU KNOW COME OVER PLEASE SHARE,FUCK COPS
FUNK GOD,MY LAST NAME IS FUNK AND,last name is Funk, could be misconstrued as fuck God?
GARCI 13,MY LAST NAME AND THE 1 FOR ME AND 3 FOR MY 3 SONS,13=gang number, no 2013 car on ani
GET R8PD,IT IS THE NAME OF MY CAR IT IS A 1968 CAMARO,ANI SHOWS 67 PONTIAC. GET RAPED.
GNTS BLO,GIANTS BELOW. IF YOU ARE FLYING AND YOU SEE GIANTS BELOW YOU, YOU ARE FLYING REALLY  HIGH.,the Giants blow, sexual connotations
GTF WYC,NAMES INITIAL,google says GTWYC=get there while you can so GTF WYC could say get there fucking while you can… also Urban Dictionary says GTF=good to fuck or get the fuck
GUNS4LF,MY COMPANY,GUNS FOR LIFE
G VAN,CHEVROLET G-SERIES VAN REFERS TO THE MODEL OF THE VAN,g=gangster, has GMC HSCR on ani
G1 TACO,1ST GENERATION TACOMA,taco=vagina. Has an 02 Toyota p/u
HAULR SS,CAR IS AN EL CAMINO THAT HAULS STUFF & IS AN SS MODEL.,has Chevy p/u on ani. Could be read as ASS
HELLAF J,I HELLA LIKE MY CAR,hell, no Dodge, has a Toyota (FJ)
HLLMNKE,HELLMONKIE ITS MY CHILDS NICKNAME,pulled for hell and monkey=pussy
HOOLGAN,OUR PET DOGS NAME,HOOLIGAN: a violent young troublemaker, typically one of a gang. HULIGAN & HOOLIGN are out and current
H2OBALN,WATER POLO,water or wet, balling
IAMDOPE,CAR SAYING, I AM COOL, OR GOOD,pulled for the word 'dope' meaning drugs but in this context can mean cool. SODOPE & IMDOPE are unacceptable
ICE KILS,INTERNAL COMBUSTION ENGINES ARE BAD FOR OUR HEALTH.,kill
ICUHA8N,I SEE U LOOKING,HATE
IH8 SH91,I HATE SH-91 FOR ITS HORRIBLE TRAFFIC JAMS,hate
INYA AS,LAKE INYA,IN YOUR ASS… LAKE INYA IS IN BURMA..
ITSSLIT,"""LIT"" IS A SLANG TERM WHICH MEANS ""GOOD,  AMAZING, ETC""",LIT=INTOXICATED, SLIT=RUDE SLANG FOR A WOMAN OR VAGINA
J C 88,MY NAME AND LAST NAME,88=HATE SYMBOL, NO 1988 CAR ON ANI
JEDI SCM,STAR WARS REFERENCE,JEDI SCUM, SCUM=SEMEN.. (SCUMBAG=-CONDOM)
KAKEGRL,CAKE GIRL,cake=ass
KATHELL,HELL CAT IS NAME OF OUR MODEL CAR,no dodge on ani, hell
KFU PNDA,KUNG FU PANDA,PULLED FOR FU=EFF YOU
LIRA 88,MY LAST NAME AND YEAR OF BIRTH.,88=HATE SYMBOL, NO 1988 CAR ON ANI
LMFX911,INITIALS CAR MODEL,PULLED FOR MF.  NAME IS LARRY M FEDER. HAS PORSCHE
LOVE NUT,JUST A TRUE ROMANTIC AT HEART. I PERFORM WEDDING CEREMONIES AND PHOTOGRAPH  WEDDING RECEPTIONS.,NUT CAN HAVE SEXUAL CONNOTATIONS
LT1 HNTR,LAWRENCE TAYLOR NUMBER 1 HUNTER,LT1 is a camaro engine, camaro hunter?
MATASHT,MATA ASHTA IS THE NAME OF MY SUSHI RESTAIRANT IN MEXICO. IT MEANS SEE YOU TOMMOROW IN JAPANESE.,MATA ASHITA=SEE YOU TOMORROW. PULLED BECAUSE SHT=SHIT
MFC,'MFC' IS AN ABBREVIATION FOR 'MOTHERWELL FOOTBALL CLUB' A PREMIERE LEAGUE SOCCER TEAM LOCATED IN MY HOMETOWN OF MOTHERWELL, SCOTLAND.,MFC motherfuck? Motherwell IS a Scottish Football Club
MK4VW18,MARK 4 VW 1.8T,18=hate symbol, HAS VW
